date,unit_name,indoor_temp,station_code,station_temp,difference,status
2023-04-01,Boyd,76.6,KLXY,74,2.5999999999999943,inactive
2023-04-02,Boyd,76.5,KLXY,76,0.5,inactive
2023-04-03,Boyd,81.3,KLXY,89,7.700000000000003,inactive
2023-04-04,Boyd,82.5,KLXY,83,0.5,inactive
2023-04-05,Boyd,77,KLXY,68,9,inactive
2023-04-06,Boyd,68.7,KLXY,51,17.700000000000003,inactive
2023-04-07,Boyd,72.1,KLXY,53,19.099999999999994,inactive
2023-04-08,Boyd,74.2,KLXY,68,6.200000000000003,inactive
2023-04-09,Boyd,74.2,KLXY,69,5.200000000000003,inactive
2023-04-10,Boyd,73.1,KLXY,69,4.099999999999994,inactive
2023-04-11,Boyd,78.8,KLXY,74,4.799999999999997,inactive
2023-04-12,Boyd,77,KLXY,76,1,inactive
2023-04-13,Boyd,76.5,KLXY,77,0.5,inactive
2023-04-14,Boyd,77.2,KLXY,75,2.200000000000003,inactive
2023-04-15,Boyd,80.9,KLXY,83,2.0999999999999943,inactive
2023-04-16,Boyd,73.3,KLXY,70,3.299999999999997,inactive
2023-04-17,Boyd,76.1,KLXY,76,0.09999999999999432,inactive
2023-04-18,Boyd,72.3,KLXY,72,0.29999999999999716,inactive
2023-04-19,Boyd,77.8,KLXY,80,2.200000000000003,inactive
2023-04-20,Boyd,78.9,KLXY,81,2.0999999999999943,inactive
2023-04-21,Boyd,74.8,KLXY,74,0.7999999999999972,inactive
2023-04-22,Boyd,75.6,KLXY,74,1.5999999999999943,inactive
2023-04-23,Boyd,65,KLXY,57,8,inactive
2023-04-24,Boyd,73,KLXY,69,4,inactive
2023-04-25,Boyd,73.3,KLXY,74,0.7000000000000028,inactive
2023-04-26,Boyd,73.1,KLXY,76,2.9000000000000057,inactive
2023-04-27,Boyd,73.5,KLXY,NA,NA,inactive
2023-04-28,Boyd,78.6,KLXY,73,5.599999999999994,inactive
2023-04-29,Boyd,73,KLXY,69,4,inactive
2023-04-30,Boyd,81.3,KLXY,NA,NA,inactive
2023-05-01,Boyd,80.3,KLXY,78,2.299999999999997,inactive
2023-05-02,Boyd,79.3,KLXY,81,1.7000000000000028,inactive
2023-05-03,Boyd,81.4,KLXY,82,0.5999999999999943,inactive
2023-05-04,Boyd,80,KLXY,76,4,inactive
2023-05-05,Boyd,83.5,KLXY,90,6.5,inactive
2023-05-06,Boyd,85.4,KLXY,85,0.4000000000000057,inactive
2023-05-07,Boyd,83.8,KLXY,83,0.7999999999999972,inactive
2023-05-08,Boyd,84.9,KLXY,89,4.099999999999994,inactive
2023-05-09,Boyd,82.4,KLXY,82,0.4000000000000057,inactive
2023-05-10,Boyd,76,KLXY,73,3,inactive
2023-05-11,Boyd,83.1,KLXY,87,3.9000000000000057,inactive
2023-05-12,Boyd,85.7,KLXY,86,0.29999999999999716,inactive
2023-05-13,Boyd,82,KLXY,80,2,inactive
2023-05-14,Boyd,76.2,KLXY,71,5.200000000000003,inactive
2023-05-15,Boyd,80.2,KLXY,80,0.20000000000000284,inactive
2023-05-16,Boyd,80.2,KLXY,78,2.200000000000003,inactive
2023-05-17,Boyd,79.6,KLXY,82,2.4000000000000057,inactive
2023-05-18,Boyd,85.4,KLXY,87,1.5999999999999943,inactive
2023-05-19,Boyd,89.2,KLXY,91,1.7999999999999972,inactive
2023-05-20,Boyd,81.4,KLXY,80,1.4000000000000057,inactive
2023-05-21,Boyd,79.9,KLXY,78,1.9000000000000057,inactive
2023-05-22,Boyd,81.7,KLXY,82,0.29999999999999716,inactive
2023-05-23,Boyd,82.2,KLXY,85,2.799999999999997,inactive
2023-05-24,Boyd,82.6,KLXY,80,2.5999999999999943,inactive
2023-05-25,Boyd,82.2,KLXY,82,0.20000000000000284,inactive
2023-05-26,Boyd,84.3,KLXY,87,2.700000000000003,inactive
2023-05-27,Boyd,83.3,KLXY,86,2.700000000000003,inactive
2023-05-28,Boyd,85,KLXY,87,2,inactive
2023-05-29,Boyd,85.1,KLXY,87,1.9000000000000057,inactive
2023-05-30,Boyd,84.1,KLXY,84,0.09999999999999432,inactive
2023-05-31,Boyd,83.9,KLXY,88,4.099999999999994,inactive
2023-06-01,Boyd,88.6,KLXY,88,0.5999999999999943,inactive
2023-06-02,Boyd,88.6,KLXY,90,1.4000000000000057,inactive
2023-06-03,Boyd,89.3,KLXY,90,0.7000000000000028,inactive
2023-06-04,Boyd,85,KLXY,86,1,inactive
2023-06-05,Boyd,84.6,KLXY,86,1.4000000000000057,inactive
2023-06-06,Boyd,86,KLXY,89,3,inactive
